LAYER,GM_TYPE,PHH_ID,Type,Pop2016,TDwell2016,URDwell206,DBUID_Idid,HEXUID_IdU,Pruid_Prid,Latitude,Longitude,ONS_ID,ONS_Name,ONS_Region,status,walkscore,description,updated,snapped_lat,snapped_lon,bike.score,bike.description
3,Unknown Point Feature,1441279,3,22,11,10.25,35061716003,ON45430757,35,45.415989,-75.688544,3024,CENTRETOWN,OTTAWA,1,75,Very Walkable,2023-02-09 14:25:05.106808,45.4155,-75.6885,99,Biker's Paradise
3,Unknown Point Feature,1391157,3,33,15.75,15,35060345003,ON45410757,35,45.41119,-75.701834,3024,CENTRETOWN,OTTAWA,1,63,Somewhat Walkable,2023-02-09 14:40:43.941410,45.411,-75.702,92,Biker's Paradise
3,Unknown Point Feature,1391382,3,45.5,26.75,24.25,35060368004,ON45410757,35,45.408352,-75.702363,3024,CENTRETOWN,OTTAWA,1,57,Somewhat Walkable,2023-02-09 14:33:36.016362,45.408,-75.702,87,Very Bikeable
4,Unknown Point Feature,1390770,4,23,15.25,13.75,35060314002,ON45410757,35,45.410245,-75.6952,3024,CENTRETOWN,OTTAWA,1,65,Somewhat Walkable,2023-02-09 14:45:28.372583,45.4095,-75.6945,93,Biker's Paradise
4,Unknown Point Feature,1391155,4,39.75,20.75,17.25,35060345002,ON45410757,35,45.411925,-75.701516,3024,CENTRETOWN,OTTAWA,1,67,Somewhat Walkable,2023-02-09 14:45:53.133950,45.4125,-75.702,99,Biker's Paradise
4,Unknown Point Feature,1441054,4,93,71,69.1428571428571,35061703002,ON45410757,35,45.414862,-75.697963,3024,CENTRETOWN,OTTAWA,1,80,Very Walkable,2023-02-09 14:28:31.320251,45.4155,-75.6975,99,Biker's Paradise
3,Unknown Point Feature,1391349,3,54.25,32.75,29.5,35060367001,ON45410757,35,45.407009,-75.702978,3024,CENTRETOWN,OTTAWA,1,58,Somewhat Walkable,2023-02-09 14:32:53.245772,45.4065,-75.7035,86,Very Bikeable
4,Unknown Point Feature,1391386,4,2.25,1,1,35060368005,ON45410757,35,45.408584,-75.702548,3024,CENTRETOWN,OTTAWA,1,57,Somewhat Walkable,2023-02-09 14:33:36.016362,45.408,-75.702,87,Very Bikeable
3,Unknown Point Feature,1392179,3,8.5,4.5,4.5,35060405005,ON45410757,35,45.413697,-75.705607,3024,CENTRETOWN,OTTAWA,1,65,Somewhat Walkable,2023-02-09 14:41:53.775477,45.414,-75.705,99,Biker's Paradise
4,Unknown Point Feature,1392215,4,8.45454545454546,7,6.18181818181818,35060408016,ON45410757,35,45.416648,-75.708968,3024,CENTRETOWN,OTTAWA,1,54,Somewhat Walkable,2023-02-09 14:42:50.583472,45.417,-75.7095,87,Very Bikeable
3,Unknown Point Feature,1441254,3,11.4166666666667,9.08333333333333,8,35061715002,ON45430757,35,45.415158,-75.69055,3024,CENTRETOWN,OTTAWA,1,79,Very Walkable,2023-02-09 14:50:30.228157,45.4155,-75.69,99,Biker's Paradise
3,Unknown Point Feature,1391380,3,45.5,26.75,24.25,35060368004,ON45410757,35,45.407646,-75.703338,3024,CENTRETOWN,OTTAWA,1,60,Somewhat Walkable,2023-02-09 14:44:15.809882,45.408,-75.7035,86,Very Bikeable
3,Unknown Point Feature,1390899,3,22.75,13,12,35060329003,ON45430757,35,45.418002,-75.682166,3024,CENTRETOWN,OTTAWA,1,50,Somewhat Walkable,2023-02-09 14:50:28.384151,45.4185,-75.6825,83,Very Bikeable
4,Unknown Point Feature,1391351,4,18.2857142857143,9.71428571428571,8.14285714285714,35060367004,ON45410757,35,45.40632,-75.700103,3024,CENTRETOWN,OTTAWA,1,53,Somewhat Walkable,2023-02-09 14:30:07.886092,45.4065,-75.7005,88,Very Bikeable
4,Unknown Point Feature,1392307,4,0.113636363636364,0,0,35060408048,ON45410757,35,45.419312,-75.708202,3024,CENTRETOWN,OTTAWA,1,54,Somewhat Walkable,2023-02-09 14:33:32.343579,45.42,-75.708,82,Very Bikeable
4,Unknown Point Feature,1441090,4,33.5,17.25,16,35061708004,ON45410757,35,45.410535,-75.693923,3024,CENTRETOWN,OTTAWA,1,68,Somewhat Walkable,2023-02-09 14:39:07.033020,45.411,-75.6945,96,Biker's Paradise
3,Unknown Point Feature,1441178,3,81,61,55.5,35061711002,ON45430757,35,45.419014,-75.691541,3024,CENTRETOWN,OTTAWA,1,86,Very Walkable,2023-02-09 14:26:31.705270,45.4185,-75.6915,98,Biker's Paradise
3,Unknown Point Feature,1441299,3,2,1,1,35061717003,ON45430757,35,45.41211,-75.687894,3024,CENTRETOWN,OTTAWA,1,65,Somewhat Walkable,2023-02-09 14:52:57.525796,45.4125,-75.6885,99,Biker's Paradise
3,Unknown Point Feature,1441108,3,43.6,34.8,31.6,35061708008,ON45410757,35,45.412902,-75.697012,3024,CENTRETOWN,OTTAWA,1,71,Very Walkable,2023-02-09 14:52:00.750537,45.4125,-75.6975,99,Biker's Paradise
3,Unknown Point Feature,1391098,3,7.125,6.125,5.5,35060338049,ON45430757,35,45.420484,-75.69399,3024,CENTRETOWN,OTTAWA,1,88,Very Walkable,2023-02-09 14:47:39.176089,45.42,-75.6945,97,Biker's Paradise
4,Unknown Point Feature,1390990,4,84.4,70.8,61.6,35060333005,ON45430757,35,45.419838,-75.685948,3024,CENTRETOWN,OTTAWA,1,70,Very Walkable,2023-02-09 14:43:48.453382,45.42,-75.6855,84,Very Bikeable
3,Unknown Point Feature,1391154,3,39.75,20.75,17.25,35060345002,ON45410757,35,45.411855,-75.702373,3024,CENTRETOWN,OTTAWA,1,67,Somewhat Walkable,2023-02-09 14:45:53.133950,45.4125,-75.702,99,Biker's Paradise
3,Unknown Point Feature,1441283,3,41.8,25.6,22,35061716004,ON45430757,35,45.415175,-75.687838,3024,CENTRETOWN,OTTAWA,1,75,Very Walkable,2023-02-09 14:25:05.106808,45.4155,-75.6885,99,Biker's Paradise
4,Unknown Point Feature,1391065,4,148.5,116.5,97.25,35060338025,ON45410757,35,45.417584,-75.699722,3024,CENTRETOWN,OTTAWA,1,80,Very Walkable,2023-02-09 14:23:15.231568,45.417,-75.699,99,Biker's Paradise
3,Unknown Point Feature,1441184,3,38,35,33,35061711003,ON45430757,35,45.418092,-75.69309,3024,CENTRETOWN,OTTAWA,1,87,Very Walkable,2023-02-09 14:49:27.967984,45.4185,-75.693,98,Biker's Paradise
4,Unknown Point Feature,1392071,4,13.547619047619,10.4761904761905,8.66666666666667,35060399030,ON45410757,35,45.415678,-75.710469,3024,CENTRETOWN,OTTAWA,1,50,Car-Dependent,2023-02-09 14:21:31.402704,45.4155,-75.711,90,Biker's Paradise
4,Unknown Point Feature,1390751,4,16,10.6,9.2,35060313007,ON45410757,35,45.40734,-75.697649,3024,CENTRETOWN,OTTAWA,1,57,Somewhat Walkable,2023-02-09 14:44:00.772121,45.408,-75.6975,87,Very Bikeable
4,Unknown Point Feature,1436656,4,22.2857142857143,13.1428571428571,11.2857142857143,35061602003,ON45410757,35,45.415168,-75.699469,3024,CENTRETOWN,OTTAWA,1,77,Very Walkable,2023-02-09 14:24:36.599465,45.4155,-75.699,99,Biker's Paradise
3,Unknown Point Feature,1392175,3,8.5,4.5,4.5,35060405005,ON45410757,35,45.413526,-75.706759,3024,CENTRETOWN,OTTAWA,1,62,Somewhat Walkable,2023-02-09 14:34:03.508648,45.414,-75.7065,99,Biker's Paradise
4,Unknown Point Feature,1390793,4,29.5,18.25,17.25,35060315002,ON45410757,35,45.410922,-75.696962,3024,CENTRETOWN,OTTAWA,1,66,Somewhat Walkable,2023-02-09 14:30:46.610295,45.411,-75.6975,94,Biker's Paradise
4,Unknown Point Feature,1392043,4,0.416666666666667,0,0,35060399021,ON45410757,35,45.419993,-75.717745,3064,LEBRETON DEVELOPMENT,OTTAWA,1,52,Somewhat Walkable,2023-02-09 14:21:02.959120,45.42,-75.717,94,Biker's Paradise
4,Unknown Point Feature,1392054,4,0.416666666666667,0,0,35060399021,ON45410757,35,45.416599,-75.717294,3064,LEBRETON DEVELOPMENT,OTTAWA,1,44,Car-Dependent,2023-02-09 14:52:55.175456,45.417,-75.717,93,Biker's Paradise
4,Unknown Point Feature,1392051,4,0.416666666666667,0,0,35060399021,ON45410757,35,45.417923,-75.715838,3064,LEBRETON DEVELOPMENT,OTTAWA,1,52,Somewhat Walkable,2023-02-09 14:52:36.202875,45.4185,-75.7155,95,Biker's Paradise
3,Unknown Point Feature,1396793,3,7.88888888888889,3.85185185185185,3.66666666666667,35060577005,ON45310757,35,45.319506,-75.71629,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,24,Car-Dependent,2023-02-09 14:41:38.502369,45.3195,-75.717,50,Bikeable
4,Unknown Point Feature,1396770,4,12.7027027027027,4.43243243243243,4.40540540540541,35060576001,ON45310757,35,45.321481,-75.712024,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,22,Car-Dependent,2023-02-09 14:43:18.015682,45.321,-75.7125,45,Somewhat Bikeable
3,Unknown Point Feature,1396500,3,4.57142857142857,2.66666666666667,2.57142857142857,35060573044,ON45310757,35,45.324812,-75.700833,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,30,Car-Dependent,2023-02-09 14:26:28.608834,45.3255,-75.7005,56,Bikeable
3,Unknown Point Feature,1396468,3,6.5,2.75,2.75,35060573025,ON45310757,35,45.324894,-75.702304,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,31,Car-Dependent,2023-02-09 14:32:28.552337,45.3255,-75.702,43,Somewhat Bikeable
4,Unknown Point Feature,1396847,4,8,3.25,3.25,35060578006,ON45310757,35,45.316845,-75.728228,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,15,Car-Dependent,2023-02-09 14:49:19.171523,45.3165,-75.7275,53,Bikeable
3,Unknown Point Feature,1396831,3,16.6,5.6,5.6,35060578003,ON45310757,35,45.31571,-75.726002,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,14,Car-Dependent,2023-02-09 14:49:20.545123,45.315,-75.726,49,Somewhat Bikeable
3,Unknown Point Feature,1396904,3,9.75,3,3,35060579007,ON45310757,35,45.323145,-75.736424,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,10,Car-Dependent,2023-02-09 14:51:28.674806,45.3225,-75.7365,57,Bikeable
4,Unknown Point Feature,1396870,4,3.61538461538462,1.26923076923077,1.19230769230769,35060578015,ON45310757,35,45.314236,-75.729698,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,8,Car-Dependent,2023-02-09 14:52:59.686838,45.3135,-75.729,49,Somewhat Bikeable
4,Unknown Point Feature,1396773,4,12.7027027027027,4.43243243243243,4.40540540540541,35060576001,ON45310757,35,45.320366,-75.713572,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,19,Car-Dependent,2023-02-09 14:54:10.614187,45.321,-75.714,48,Somewhat Bikeable
4,Unknown Point Feature,1396771,4,12.7027027027027,4.43243243243243,4.40540540540541,35060576001,ON45310757,35,45.323343,-75.704312,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,23,Car-Dependent,2023-02-09 14:19:56.458996,45.324,-75.705,45,Somewhat Bikeable
4,Unknown Point Feature,1396736,4,16,5,5,35060575007,ON45310757,35,45.319759,-75.71437,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,11,Car-Dependent,2023-02-09 14:16:09.383757,45.3195,-75.714,45,Somewhat Bikeable
3,Unknown Point Feature,1396444,3,7.5,2.75,2.75,35060573016,ON45310757,35,45.326854,-75.710642000000007,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,39,Car-Dependent,2023-02-09 14:39:25.375597,45.327,-75.711,55,Bikeable
3,Unknown Point Feature,1396499,3,4.57142857142857,2.66666666666667,2.57142857142857,35060573044,ON45310757,35,45.321502,-75.700314,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,20,Car-Dependent,2023-02-09 14:34:35.482536,45.321,-75.7005,28,Somewhat Bikeable
3,Unknown Point Feature,1396775,3,12.7027027027027,4.43243243243243,4.40540540540541,35060576001,ON45310757,35,45.321555,-75.704895,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,22,Car-Dependent,2023-02-09 14:35:09.671199,45.321,-75.705,42,Somewhat Bikeable
3,Unknown Point Feature,1396749,3,12.7027027027027,4.43243243243243,4.40540540540541,35060576001,ON45310757,35,45.318659,-75.712198,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,17,Car-Dependent,2023-02-09 14:23:11.543756,45.318,-75.7125,29,Somewhat Bikeable
4,Unknown Point Feature,1396452,4,3.75,1.5,1.5,35060573017,ON45310757,35,45.32651,-75.708428,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,39,Car-Dependent,2023-02-09 14:54:15.699888,45.327,-75.708,54,Bikeable
3,Unknown Point Feature,1396703,3,14.2,5,5,35060575004,ON45310757,35,45.322588,-75.716971,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,33,Car-Dependent,2023-02-09 14:22:50.325778,45.3225,-75.717,60,Bikeable
4,Unknown Point Feature,1396808,4,7.88888888888889,3.85185185185185,3.66666666666667,35060577005,ON45310757,35,45.322493,-75.717322,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,33,Car-Dependent,2023-02-09 14:22:50.325778,45.3225,-75.717,60,Bikeable
4,Unknown Point Feature,1396435,4,14,4.33333333333333,4.33333333333333,35060573014,ON45310757,35,45.324852,-75.702674,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,31,Car-Dependent,2023-02-09 14:32:28.552337,45.3255,-75.702,43,Somewhat Bikeable
4,Unknown Point Feature,1396801,4,7.88888888888889,3.85185185185185,3.66666666666667,35060577005,ON45310757,35,45.315695,-75.723366,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,9,Car-Dependent,2023-02-09 14:19:45.986370,45.315,-75.723,44,Somewhat Bikeable
3,Unknown Point Feature,1396797,3,7.88888888888889,3.85185185185185,3.66666666666667,35060577005,ON45310757,35,45.314444,-75.727277,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,11,Car-Dependent,2023-02-09 14:16:03.345785,45.315,-75.7275,50,Bikeable
4,Unknown Point Feature,1396454,4,3.75,1.5,1.5,35060573017,ON45310757,35,45.325921,-75.709059,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,37,Car-Dependent,2023-02-09 14:54:21.091626,45.3255,-75.7095,52,Bikeable
3,Unknown Point Feature,1396693,3,4.5,1.66666666666667,1.66666666666667,35060575002,ON45310757,35,45.323953,-75.713537,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,33,Car-Dependent,2023-02-09 14:41:27.836977,45.324,-75.714,57,Bikeable
3,Unknown Point Feature,1396725,3,14.8260869565217,5.08695652173913,5.04347826086957,35060575006,ON45310757,35,45.321433,-75.706522,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,23,Car-Dependent,2023-02-09 14:50:32.107827,45.321,-75.7065,43,Somewhat Bikeable
3,Unknown Point Feature,1396471,3,6.5,2.75,2.75,35060573025,ON45310757,35,45.326926,-75.702733,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,38,Car-Dependent,2023-02-09 14:37:57.489797,45.327,-75.702,50,Bikeable
3,Unknown Point Feature,1396839,3,9.5,3.75,3.75,35060578004,ON45310757,35,45.317992,-75.726318,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,20,Car-Dependent,2023-02-09 14:52:30.240215,45.318,-75.726,56,Bikeable
3,Unknown Point Feature,1396989,3,1.73846153846154,0.523076923076923,0.507692307692308,35060579028,ON45310757,35,45.33249,-75.734783,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,23,Car-Dependent,2023-02-09 14:54:56.274103,45.333,-75.735,71,Very Bikeable
3,Unknown Point Feature,1396664,3,4.25,1.5,1.5,35060574007,ON45310757,35,45.324901,-75.708466,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,37,Car-Dependent,2023-02-09 14:39:26.866114,45.3255,-75.708,51,Bikeable
4,Unknown Point Feature,1396690,4,4.5,1.66666666666667,1.66666666666667,35060575002,ON45310757,35,45.322871,-75.712274,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,31,Car-Dependent,2023-02-09 14:17:40.054336,45.3225,-75.7125,52,Bikeable
4,Unknown Point Feature,1396926,4,6.6,2.2,2.2,35060579011,ON45310757,35,45.323271,-75.739243,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,9,Car-Dependent,2023-02-09 14:40:36.603414,45.324,-75.7395,68,Bikeable
3,Unknown Point Feature,1396704,3,14.2,5,5,35060575004,ON45310757,35,45.323478,-75.715451,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,34,Car-Dependent,2023-02-09 14:25:29.025575,45.324,-75.7155,59,Bikeable
3,Unknown Point Feature,1396689,3,4.5,1.66666666666667,1.66666666666667,35060575002,ON45310757,35,45.324352,-75.713745,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,33,Car-Dependent,2023-02-09 14:41:27.836977,45.324,-75.714,57,Bikeable
3,Unknown Point Feature,1396646,3,8,3.66666666666667,3.66666666666667,35060574003,ON45310757,35,45.325901,-75.7062,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,36,Car-Dependent,2023-02-09 14:54:35.865600,45.3255,-75.7065,50,Bikeable
4,Unknown Point Feature,1396453,4,3.75,1.5,1.5,35060573017,ON45310757,35,45.326457,-75.709081,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,38,Car-Dependent,2023-02-09 14:46:12.411335,45.327,-75.7095,54,Bikeable
4,Unknown Point Feature,1396865,4,3.61538461538462,1.26923076923077,1.19230769230769,35060578015,ON45310757,35,45.315148,-75.730107,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,9,Car-Dependent,2023-02-09 14:54:15.956033,45.315,-75.7305,54,Bikeable
3,Unknown Point Feature,1396695,3,10.2,3.2,3.2,35060575003,ON45310757,35,45.32271,-75.715114,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,31,Car-Dependent,2023-02-09 14:45:31.986914,45.3225,-75.7155,59,Bikeable
4,Unknown Point Feature,1396814,4,7.88888888888889,3.85185185185185,3.66666666666667,35060577005,ON45310757,35,45.318369,-75.716713,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,17,Car-Dependent,2023-02-09 14:23:24.558745,45.318,-75.717,44,Somewhat Bikeable
3,Unknown Point Feature,1396510,3,4.57142857142857,2.66666666666667,2.57142857142857,35060573044,ON45340757,35,45.331448,-75.700771,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,41,Car-Dependent,2023-02-09 14:32:55.086200,45.3315,-75.7005,68,Bikeable
3,Unknown Point Feature,1396641,3,8.25,3,3,35060574002,ON45310757,35,45.326701,-75.706528,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,38,Car-Dependent,2023-02-09 14:21:36.227123,45.327,-75.7065,54,Bikeable
4,Unknown Point Feature,1396460,4,7,2.2,2.2,35060573018,ON45310757,35,45.324612,-75.713336,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,33,Car-Dependent,2023-02-09 14:41:27.836977,45.324,-75.714,57,Bikeable
3,Unknown Point Feature,1396911,3,5.5,2.75,2.5,35060579008,ON45310757,35,45.322555,-75.737782,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,10,Car-Dependent,2023-02-09 14:18:45.859585,45.3225,-75.738,64,Bikeable
4,Unknown Point Feature,1396948,4,1.73846153846154,0.523076923076923,0.507692307692308,35060579028,ON45310757,35,45.325073,-75.737508,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,7,Car-Dependent,2023-02-09 14:44:20.323201,45.3255,-75.738,62,Bikeable
3,Unknown Point Feature,1396648,3,13.6,5,4.73333333333333,35060574004,ON45310757,35,45.32487,-75.703726,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,34,Car-Dependent,2023-02-09 14:25:43.765476,45.3255,-75.7035,50,Bikeable
4,Unknown Point Feature,1424503,4,0.131578947368421,0.0263157894736842,0.0263157894736842,35061391023,ON45310757,35,45.327455,-75.748249,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,16,Car-Dependent,2023-02-09 14:28:19.884244,45.327,-75.7485,66,Bikeable
3,Unknown Point Feature,1396699,3,10.2,3.2,3.2,35060575003,ON45310757,35,45.321446,-75.716328,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,30,Car-Dependent,2023-02-09 14:40:20.437649,45.321,-75.717,55,Bikeable
4,Unknown Point Feature,1396810,4,7.88888888888889,3.85185185185185,3.66666666666667,35060577005,ON45310757,35,45.320695,-75.719012,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,19,Car-Dependent,2023-02-09 14:45:33.627187,45.321,-75.7185,54,Bikeable
4,Unknown Point Feature,1396421,4,13.6666666666667,5.16666666666667,5.16666666666667,35060573009,ON45310757,35,45.327189,-75.70278,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,37,Car-Dependent,2023-02-09 14:49:23.458410,45.327,-75.7035,55,Bikeable
4,Unknown Point Feature,1396423,4,13.6666666666667,5.16666666666667,5.16666666666667,35060573009,ON45310757,35,45.329032,-75.70222,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,38,Car-Dependent,2023-02-09 14:33:20.903843,45.3285,-75.702,56,Bikeable
3,Unknown Point Feature,1396451,3,3.75,1.5,1.5,35060573017,ON45310757,35,45.325899,-75.709897,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,37,Car-Dependent,2023-02-09 14:54:21.091626,45.3255,-75.7095,52,Bikeable
3,Unknown Point Feature,1396730,3,14.8260869565217,5.08695652173913,5.04347826086957,35060575006,ON45310757,35,45.321708,-75.71222,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,22,Car-Dependent,2023-02-09 14:43:18.015682,45.321,-75.7125,45,Somewhat Bikeable
4,Unknown Point Feature,1396761,4,12.7027027027027,4.43243243243243,4.40540540540541,35060576001,ON45310757,35,45.31764,-75.71305,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,17,Car-Dependent,2023-02-09 14:23:11.543756,45.318,-75.7125,29,Somewhat Bikeable
3,Unknown Point Feature,1396953,3,1.73846153846154,0.523076923076923,0.507692307692308,35060579028,ON45310757,35,45.326383,-75.747188,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,16,Car-Dependent,2023-02-09 14:31:05.632682,45.327,-75.747,68,Bikeable
4,Unknown Point Feature,1396449,4,7.5,2.75,2.75,35060573016,ON45310757,35,45.327278,-75.708817,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,38,Car-Dependent,2023-02-09 14:46:12.411335,45.327,-75.7095,54,Bikeable
4,Unknown Point Feature,1396868,4,3.61538461538462,1.26923076923077,1.19230769230769,35060578015,ON45310757,35,45.315845,-75.732697,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,9,Car-Dependent,2023-02-09 14:52:00.459765,45.3165,-75.732,57,Bikeable
4,Unknown Point Feature,1396680,4,9,3,2.90909090909091,35060574009,ON45310757,35,45.323357,-75.705044,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,23,Car-Dependent,2023-02-09 14:19:56.458996,45.324,-75.705,45,Somewhat Bikeable
4,Unknown Point Feature,1396961,4,1.73846153846154,0.523076923076923,0.507692307692308,35060579028,ON45310757,35,45.326138,-75.735144,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,9,Car-Dependent,2023-02-09 14:28:46.867803,45.3255,-75.735,50,Bikeable
3,Unknown Point Feature,1396846,3,5.8,3,3,35060578005,ON45310757,35,45.316738,-75.726599,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,17,Car-Dependent,2023-02-09 14:31:03.366792,45.3165,-75.726,56,Bikeable
3,Unknown Point Feature,1396802,3,7.88888888888889,3.85185185185185,3.66666666666667,35060577005,ON45310757,35,45.315841,-75.723052,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,11,Car-Dependent,2023-02-09 14:36:47.858478,45.3165,-75.723,48,Somewhat Bikeable
4,Unknown Point Feature,1396732,4,14.8260869565217,5.08695652173913,5.04347826086957,35060575006,ON45310757,35,45.322262,-75.707048,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,28,Car-Dependent,2023-02-09 14:38:52.343994,45.3225,-75.7065,43,Somewhat Bikeable
3,Unknown Point Feature,1396866,3,3.61538461538462,1.26923076923077,1.19230769230769,35060578015,ON45310757,35,45.318935,-75.736988,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,8,Car-Dependent,2023-02-09 14:46:34.850808,45.3195,-75.7365,66,Bikeable
3,Unknown Point Feature,1396723,3,14.8260869565217,5.08695652173913,5.04347826086957,35060575006,ON45310757,35,45.32443,-75.709946,3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,OTTAWA,1,32,Car-Dependent,2023-02-09 14:17:22.055835,45.324,-75.7095,48,Somewhat Bikeable
